xi,ti,ci
10,0,-9.72E-05
10,0.100000001,-4.26E-05
10,0.200000003,2.13094E-05
10,0.300000012,9.54042E-05
10,0.400000006,0.000181716
10,0.5,0.000282399
10,0.600000024,0.000399775
10,0.699999988,0.000536688
10,0.800000012,0.000697004
10,0.900000036,0.000884522
10,1,0.001103703
10,1.100000024,0.001360185
10,1.200000048,0.001659219
10,1.299999952,0.002006696
10,1.399999976,0.002406877
10,1.5,0.002862019
10,1.600000024,0.003369845
10,1.700000048,0.003919038
10,1.800000072,0.00448541
10,1.899999976,0.005028607
10,2,0.005501829
10,2.099999905,0.005899725
10,2.200000048,0.006403783
10,2.299999952,0.007681113
10,2.400000095,0.011229267
10,2.5,0.019183569
10,2.600000143,0.032996483
10,2.700000048,0.052142203
10,2.800000191,0.074802026
10,2.900000095,0.099395782
10,3,0.124894232
10,3.100000143,0.150448978
10,3.200000048,0.175315768
10,3.299999952,0.198973656
10,3.400000095,0.221155405
10,3.5,0.241769597
10,3.600000143,0.260808498
10,3.700000048,0.278292537
10,3.799999952,0.294247359
10,3.900000095,0.308705568
10,4,0.3217116
10,4.099999905,0.333327472
10,4.199999809,0.343631893
10,4.300000191,0.352720171
10,4.400000095,0.360698581
10,4.5,0.367677748
10,4.599999905,0.373769641
10,4.699999809,0.37908113
10,4.800000191,0.383712679
10,4.900000095,0.387754977
10,5,0.391290039
10,5.100000381,0.394389898
10,5.200000286,0.397116512
10,5.300000191,0.399524689
10,5.400000095,0.401660353
10,5.5,0.403563201
10,5.599999905,0.40526697
10,5.699999809,0.406800091
10,5.799999714,0.408186644
10,5.900000095,0.40944767
10,6,0.410600036
10,6.099999905,0.411658525
10,6.199999809,0.412635624
10,6.299999714,0.413542062
10,6.400000095,0.414386779
10,6.5,0.415177077
10,6.599999905,0.415919989
10,6.700000286,0.416620731
10,6.800000191,0.41728431
10,6.900000095,0.41791454
10,7,0.418515325
10,7.099999905,0.419089198
10,7.199999809,0.41963914
10,7.299999714,0.420167327
10,7.399999619,0.420675755
10,7.5,0.421165884
10,7.599999905,0.421639383
10,7.699999809,0.422097504
10,7.799999714,0.422541469
10,7.899999619,0.422972053
10,8,0.423390269
10,8.100000381,0.423796952
10,8.199999809,0.424192369
10,8.300000191,0.424577743
10,8.399999619,0.424953252
10,8.5,0.425319344
10,8.600000381,0.425676733
10,8.699999809,0.42602551
10,8.800000191,0.42636615
10,8.900000572,0.426698983
10,9,0.427024305
10,9.100000381,0.427342415
10,9.199999809,0.427653551
10,9.300000191,0.427957684
10,9.400000572,0.428255498
10,9.5,0.428546906
10,9.600000381,0.428832173
10,9.699999809,0.429111332
10,9.800000191,0.429384828
10,9.899999619,0.429652572
10,10,0.429914743
