xi,ti,ci
0,0,-0.001095191
0,0.1,-0.001049557
0,0.2,-0.000935637
0,0.3,-0.00080538
0,0.4,-0.000680975
0,0.5,-0.000571059
0,0.6,-0.000477622
0,0.7,-0.000399485
0,0.8,-0.000334568
0,0.90000004,-0.00028098
0,1,-0.000236244
0,1.1,-0.000198485
0,1.2,-0.000166239
0,1.3,-0.00013834
0,1.4,-0.000113634
0,1.5,-9.17E-05
0,1.6,-7.18E-05
0,1.7,-5.34E-05
0,1.8000001,-3.64E-05
0,1.9,-2.04E-05
0,2,-5.48E-06
0,2.1,8.597504e-06
0,2.2,2.1729385e-05
0,2.3,3.4310855e-05
0,2.4,4.590652e-05
0,2.5,5.6904275e-05
0,2.6000001,6.708666e-05
0,2.7,7.6424796e-05
0,2.8000002,8.5103326e-05
0,2.9,9.298208e-05
0,3,0.000100046
0,3.1000001,0.000106331
0,3.2,0.000111708
0,3.3,0.000116478
0,3.4,0.000120316
0,3.5,0.000123576
0,3.6000001,0.000126104
0,3.7,0.00012767
0,3.8,0.000128744
0,3.9,0.000129145
0,4,0.000128772
0,4.1,0.000127794
0,4.2,0.000126403
0,4.3,0.000124177
0,4.4,0.000121633
0,4.5,0.000118596
0,4.6,0.000114963
0,4.7,0.00011103
0,4.8,0.000106649
0,4.9,0.000101963
0,5,9.7060576e-05
0,5.1000004,9.150198e-05
0,5.2000003,8.60719e-05
0,5.3,8.027861e-05
0,5.4,7.430557e-05
0,5.5,6.820029e-05
0,5.6,6.195088e-05
0,5.7,5.566515e-05
0,5.7999997,4.9234135e-05
0,5.9,4.2881817e-05
0,6,3.6479207e-05
0,6.1,3.0044466e-05
0,6.2,2.3847912e-05
0,6.2999997,1.7598737e-05
0,6.4,1.1447119e-05
0,6.5,5.5315904e-06
0,6.6,-3.00E-07
0,6.7000003,-5.98E-06
0,6.8,-1.14E-05
0,6.9,-1.67E-05
0,7,-2.16E-05
0,7.1,-2.64E-05
0,7.2,-3.07E-05
0,7.2999997,-3.50E-05
0,7.3999996,-3.88E-05
0,7.5,-4.22E-05
0,7.6,-4.54E-05
0,7.7,-4.81E-05
0,7.7999997,-5.08E-05
0,7.8999996,-5.27E-05
0,8,-5.43E-05
0,8.1,-5.57E-05
0,8.2,-5.64E-05
0,8.3,-5.69E-05
0,8.4,-5.69E-05
0,8.5,-5.64E-05
0,8.6,-5.56E-05
0,8.7,-5.42E-05
0,8.8,-5.23E-05
0,8.900001,-5.00E-05
0,9,-4.73E-05
0,9.1,-4.40E-05
0,9.2,-4.04E-05
0,9.3,-3.60E-05
0,9.400001,-3.12E-05
0,9.5,-2.61E-05
0,9.6,-2.04E-05
0,9.7,-1.41E-05
0,9.8,-7.42E-06
0,9.9,-1.16E-07
0,10,7.500872e-06
0.1,0,-0.000914674
0.1,0.1,-0.000855018
0.1,0.2,-0.000712704
0.1,0.3,-0.000551022
0.1,0.4,-0.000396922
0.1,0.5,-0.000260541
0.1,0.6,-0.000144167
0.1,0.7,-4.63E-05
0.1,0.8,3.5279198e-05
0.1,0.90000004,0.000103166
0.1,1,0.000160297
0.1,1.1,0.00020864
0.1,1.2,0.000250352
0.1,1.3,0.000286623
0.1,1.4,0.000318582
0.1,1.5,0.000347564
0.1,1.6,0.000373804
0.1,1.7,0.000398239
0.1,1.8000001,0.000420546
0.1,1.9,0.000441782
0.1,2,0.00046164
0.1,2.1,0.000480576
0.1,2.2,0.000498378
0.1,2.3,0.000515414
0.1,2.4,0.00053148
0.1,2.5,0.000546743
0.1,2.6000001,0.000561147
0.1,2.7,0.000574637
0.1,2.8000002,0.000587276
0.1,2.9,0.000599154
0.1,3,0.000610019
0.1,3.1000001,0.000620133
0.1,3.2,0.000629472
0.1,3.3,0.000637875
0.1,3.4,0.000645499
0.1,3.5,0.000652185
0.1,3.6000001,0.00065828
0.1,3.7,0.000663573
0.1,3.8,0.000668115
0.1,3.9,0.00067179
0.1,4,0.000674844
0.1,4.1,0.000677349
0.1,4.2,0.000679123
0.1,4.3,0.00068026
0.1,4.4,0.00068088
0.1,4.5,0.000680911
0.1,4.6,0.000680602
0.1,4.7,0.000679731
0.1,4.8,0.000678478
0.1,4.9,0.000676805
0.1,5,0.000674702
0.1,5.1000004,0.000672489
0.1,5.2000003,0.000669849
0.1,5.3,0.000666995
0.1,5.4,0.000663962
0.1,5.5,0.000660702
0.1,5.6,0.000657294
0.1,5.7,0.000653983
0.1,5.7999997,0.00065031
0.1,5.9,0.000646798
0.1,6,0.000643146
0.1,6.1,0.00063948
0.1,6.2,0.000635941
0.1,6.2999997,0.000632418
0.1,6.4,0.00062916
0.1,6.5,0.000625867
0.1,6.6,0.00062261
0.1,6.7000003,0.000619754
0.1,6.8,0.000616951
0.1,6.9,0.00061437
0.1,7,0.000612072
0.1,7.1,0.000609935
0.1,7.2,0.000608189
0.1,7.2999997,0.000606733
0.1,7.3999996,0.000605525
0.1,7.5,0.000604609
0.1,7.6,0.000604028
0.1,7.7,0.000603959
0.1,7.7999997,0.000604048
0.1,7.8999996,0.000604689
0.1,8,0.000605528
0.1,8.1,0.000607021
0.1,8.2,0.000608685
0.1,8.3,0.000611012
0.1,8.4,0.000613637
0.1,8.5,0.000616688
0.1,8.6,0.000620342
0.1,8.7,0.000624218
0.1,8.8,0.000628738
0.1,8.900001,0.000633609
0.1,9,0.000638978
0.1,9.1,0.000644946
0.1,9.2,0.000651322
0.1,9.3,0.000658271
0.1,9.400001,0.000665704
0.1,9.5,0.000673695
0.1,9.6,0.000682063
0.1,9.7,0.00069091
0.1,9.8,0.000700338
0.1,9.9,0.00071034
0.1,10,0.000720825
0.2,0,-0.000736874
0.2,0.1,-0.000662232
0.2,0.2,-0.000486695
0.2,0.3,-0.000287654
0.2,0.4,-9.78E-05
0.2,0.5,7.0411246e-05
0.2,0.6,0.000214363
0.2,0.7,0.000335667
0.2,0.8,0.000437347
0.2,0.90000004,0.000522559
0.2,1,0.00059444
0.2,1.1,0.000655565
0.2,1.2,0.000708611
0.2,1.3,0.000754717
0.2,1.4,0.000795791
0.2,1.5,0.000832658
0.2,1.6,0.000866299
0.2,1.7,0.000897391
0.2,1.8000001,0.000926362
0.2,1.9,0.000953494
0.2,2,0.000979112
0.2,2.1,0.001003476
0.2,2.2,0.001026608
0.2,2.3,0.001048771
0.2,2.4,0.001069679
0.2,2.5,0.001089724
0.2,2.6000001,0.00110878
0.2,2.7,0.001126744
0.2,2.8000002,0.001143991
0.2,2.9,0.001160115
0.2,3,0.001175388
0.2,3.1000001,0.001189657
0.2,3.2,0.001203204
0.2,3.3,0.001215646
0.2,3.4,0.001227304
0.2,3.5,0.001238057
0.2,3.6000001,0.001247957
0.2,3.7,0.001256925
0.2,3.8,0.001265402
0.2,3.9,0.001272861
0.2,4,0.001279605
0.2,4.1,0.001285601
0.2,4.2,0.00129104
0.2,4.3,0.00129577
0.2,4.4,0.001299797
0.2,4.5,0.001303368
0.2,4.6,0.001306399
0.2,4.7,0.001308837
0.2,4.8,0.001311023
0.2,4.9,0.001312558
0.2,5,0.001313823
0.2,5.1000004,0.001314729
0.2,5.2000003,0.001315241
0.2,5.3,0.001315642
0.2,5.4,0.001315656
0.2,5.5,0.001315399
0.2,5.6,0.001315064
0.2,5.7,0.001314819
0.2,5.7999997,0.001314084
0.2,5.9,0.001313521
0.2,6,0.001312994
0.2,6.1,0.001312187
0.2,6.2,0.001311631
0.2,6.2999997,0.001311024
0.2,6.4,0.001310533
0.2,6.5,0.001310115
0.2,6.6,0.001309948
0.2,6.7000003,0.00130986
0.2,6.8,0.001309866
0.2,6.9,0.001310153
0.2,7,0.001310726
0.2,7.1,0.00131133
0.2,7.2,0.001312377
0.2,7.2999997,0.001313706
0.2,7.3999996,0.001315273
0.2,7.5,0.001317035
0.2,7.6,0.001319423
0.2,7.7,0.001322086
0.2,7.7999997,0.001325017
0.2,7.8999996,0.00132845
0.2,8,0.001332007
0.2,8.1,0.001336147
0.2,8.2,0.001340708
0.2,8.3,0.001345599
0.2,8.4,0.001351155
0.2,8.5,0.001356925
0.2,8.6,0.001363325
0.2,8.7,0.001369983
0.2,8.8,0.001377281
0.2,8.900001,0.001385116
0.2,9,0.001393277
0.2,9.1,0.001401791
0.2,9.2,0.001410959
0.2,9.3,0.00142071
0.2,9.400001,0.001430888
0.2,9.5,0.001441641
0.2,9.6,0.001452893
0.2,9.7,0.001464634
0.2,9.8,0.001476911
0.2,9.9,0.001489727
0.2,10,0.001502991
0.3,0,-0.000563541
0.3,0.1,-0.000473262
0.3,0.2,-0.000258361
0.3,0.3,-1.47E-05
0.3,0.4,0.000217776
0.3,0.5,0.000423993
0.3,0.6,0.000601263
0.3,0.7,0.00075079
0.3,0.8,0.000876511
0.3,0.90000004,0.000982305
0.3,1,0.001071787
0.3,1.1,0.001148394
0.3,1.2,0.001214695
0.3,1.3,0.001272651
0.3,1.4,0.00132418
0.3,1.5,0.001370601
0.3,1.6,0.001412896
0.3,1.7,0.001451746
0.3,1.8000001,0.001488232
0.3,1.9,0.001522255
0.3,2,0.001554614
0.3,2.1,0.001584966
0.3,2.2,0.001614107
0.3,2.3,0.00164179
0.3,2.4,0.001668471
0.3,2.5,0.001693691
0.3,2.6000001,0.001718074
0.3,2.7,0.001741022
0.3,2.8000002,0.001763205
0.3,2.9,0.001784255
0.3,3,0.00180418
0.3,3.1000001,0.001823133
0.3,3.2,0.001840982
0.3,3.3,0.001857996
0.3,3.4,0.001874093
0.3,3.5,0.001889202
0.3,3.6000001,0.001903241
0.3,3.7,0.001916433
0.3,3.8,0.001928849
0.3,3.9,0.001940497
0.3,4,0.001951127
0.3,4.1,0.001961089
0.3,4.2,0.001970303
0.3,4.3,0.001978844
0.3,4.4,0.001986867
0.3,4.5,0.001993958
0.3,4.6,0.002000624
0.3,4.7,0.002006641
0.3,4.8,0.002012395
0.3,4.9,0.002017492
0.3,5,0.002022136
0.3,5.1000004,0.002026537
0.3,5.2000003,0.002030453
0.3,5.3,0.00203412
0.3,5.4,0.002037452
0.3,5.5,0.002040601
0.3,5.6,0.002043623
0.3,5.7,0.002046475
0.3,5.7999997,0.00204906
0.3,5.9,0.002051566
0.3,6,0.002054189
0.3,6.1,0.002056623
0.3,6.2,0.002059159
0.3,6.2999997,0.002061655
0.3,6.4,0.00206422
0.3,6.5,0.002066793
0.3,6.6,0.002069677
0.3,6.7000003,0.002072447
0.3,6.8,0.002075583
0.3,6.9,0.002078835
0.3,7,0.002082361
0.3,7.1,0.002085964
0.3,7.2,0.002089864
0.3,7.2999997,0.002094102
0.3,7.3999996,0.002098801
0.3,7.5,0.002103428
0.3,7.6,0.00210863
0.3,7.7,0.002114259
0.3,7.7999997,0.00212011
0.3,7.8999996,0.002126294
0.3,8,0.002132905
0.3,8.1,0.002139753
0.3,8.2,0.002147365
0.3,8.3,0.00215514
0.3,8.4,0.002163473
0.3,8.5,0.002172195
0.3,8.6,0.00218136
0.3,8.7,0.002191072
0.3,8.8,0.002201197
0.3,8.900001,0.00221183
0.3,9,0.002222885
0.3,9.1,0.002234512
0.3,9.2,0.00224668
0.3,9.3,0.002259297
0.3,9.400001,0.002272366
0.3,9.5,0.002285947
0.3,9.6,0.002300086
0.3,9.7,0.002314779
0.3,9.8,0.002330041
0.3,9.9,0.002345778
0.3,10,0.002361902
0.4,0,-0.000396296
0.4,0.1,-0.000290042
0.4,0.2,-2.93E-05
0.4,0.3,0.000267614
0.4,0.4,0.000551165
0.4,0.5,0.000803317
0.4,0.6,0.001020055
0.4,0.7,0.001203624
0.4,0.8,0.001358353
0.4,0.90000004,0.00148883
0.4,1,0.001599512
0.4,1.1,0.001694365
0.4,1.2,0.001776319
0.4,1.3,0.001848378
0.4,1.4,0.001912265
0.4,1.5,0.001969791
0.4,1.6,0.002022229
0.4,1.7,0.002070438
0.4,1.8000001,0.002115169
0.4,1.9,0.00215721
0.4,2,0.002196882
0.4,2.1,0.002234575
0.4,2.2,0.002270366
0.4,2.3,0.002304369
0.4,2.4,0.002337141
0.4,2.5,0.002368345
0.4,2.6000001,0.002398307
0.4,2.7,0.00242721
0.4,2.8000002,0.002454563
0.4,2.9,0.00248088
0.4,3,0.002506042
0.4,3.1000001,0.002529947
0.4,3.2,0.002552901
0.4,3.3,0.002574654
0.4,3.4,0.002595415
0.4,3.5,0.002615267
0.4,3.6000001,0.002633782
0.4,3.7,0.002651611
0.4,3.8,0.00266837
0.4,3.9,0.002684193
0.4,4,0.002699215
0.4,4.1,0.002713435
0.4,4.2,0.00272681
0.4,4.3,0.00273937
0.4,4.4,0.002751199
0.4,4.5,0.002762436
0.4,4.6,0.00277298
0.4,4.7,0.002782864
0.4,4.8,0.002792274
0.4,4.9,0.002801187
0.4,5,0.00280963
0.4,5.1000004,0.002817466
0.4,5.2000003,0.002825101
0.4,5.3,0.002832377
0.4,5.4,0.002839242
0.4,5.5,0.002845878
0.4,5.6,0.002852332
0.4,5.7,0.002858502
0.4,5.7999997,0.002864501
0.4,5.9,0.002870484
0.4,6,0.00287639
0.4,6.1,0.002882115
0.4,6.2,0.002887751
0.4,6.2999997,0.002893485
0.4,6.4,0.002899357
0.4,6.5,0.002905134
0.4,6.6,0.002911146
0.4,6.7000003,0.002917118
0.4,6.8,0.002923517
0.4,6.9,0.002929808
0.4,7,0.002936311
0.4,7.1,0.002943055
0.4,7.2,0.002950224
0.4,7.2999997,0.002957371
0.4,7.3999996,0.002965109
0.4,7.5,0.002972844
0.4,7.6,0.002981064
0.4,7.7,0.002989633
0.4,7.7999997,0.00299851
0.4,7.8999996,0.003007736
0.4,8,0.003017276
