xi,ti,ci
0,0,0
0.1,0,5.90E-32
0.2,0,1.65E-29
0.3,0,3.59E-27
0.4,0,6.11E-25
0.5,0,8.14E-23
0.6,0,8.47E-21
0.7,0,6.90E-19
0.8,0,4.40E-17
0.9,0,2.21E-15
1,0,8.69E-14
1.1,0,2.69E-12
1.2,0,6.58E-11
1.3,0,1.27E-09
1.4,0,1.93E-08
1.5,0,2.33E-07
1.6,0,2.23E-06
1.7,0,1.69E-05
1.8,0,0.000101032
1.9,0,0.000479123
2,0,0.00179711
2.1,0,0.00532745
2.2,0,0.0124734
2.3,0,0.0230549
2.4,0,0.0336315
2.5,0,0.0387223
2.6,0,0.0352012
2.7,0,0.0252803
2.8,0,0.0143532
2.9,0,0.00644734
3,0,0.0022927
3.1,0,0.000645679
3.2,0,0.000144012
3.3,0,2.54E-05
3.4,0,3.55E-06
3.5,0,3.92E-07
3.6,0,3.41E-08
3.7,0,2.34E-09
3.8,0,1.26E-10
3.9,0,5.36E-12
4,0,1.78E-13
4.1,0,4.64E-15
4.2,0,9.45E-17
4.3,0,1.51E-18
4.4,0,1.87E-20
4.5,0,1.82E-22
4.6,0,1.38E-24
4.7,0,8.17E-27
4.8,0,3.77E-29
4.9,0,1.35E-31
5,0,3.79E-34
5.1,0,8.28E-37
5.2,0,1.41E-39
5.3,0,1.87E-42
5.4,0,1.93E-45
5.5,0,1.55E-48
5.6,0,9.70E-52
5.7,0,4.73E-55
5.8,0,1.80E-58
5.9,0,5.32E-62
6,0,1.23E-65
6.1,0,2.20E-69
6.2,0,3.08E-73
6.3,0,3.35E-77
6.4,0,2.84E-81
6.5,0,1.88E-85
6.6,0,9.66E-90
6.7,0,3.87E-94
6.8,0,1.21E-98
6.9,0,2.94E-103
7,0,5.56E-108
7.1,0,8.19E-113
7.2,0,9.40E-118
7.3,0,8.40E-123
7.4,0,5.85E-128
7.5,0,3.17E-133
7.6,0,1.34E-138
7.7,0,4.41E-144
7.8,0,1.13E-149
7.9,0,2.25E-155
8,0,3.50E-161
8.1,0,4.23E-167
8.2,0,3.99E-173
8.3,0,2.92E-179
8.4,0,1.67E-185
8.5,0,7.44E-192
8.6,0,2.58E-198
8.7,0,6.96E-205
8.8,0,1.46E-211
8.9,0,2.40E-218
9,0,3.06E-225
9.1,0,3.04E-232
9.2,0,2.35E-239
9.3,0,1.41E-246
9.4,0,6.63E-254
9.5,0,2.42E-261
9.6,0,6.90E-269
9.7,0,1.53E-276
9.8,0,2.64E-284
9.9,0,3.54E-292
10,0,3.71E-300
10.1,0,3.02E-308
10.2,0,1.92014e-316
10.3,0,0
10.4,0,0
10.5,0,0
10.6,0,0
10.7,0,0
10.8,0,0
10.9,0,0
11,0,0
11.1,0,0
11.2,0,0
11.3,0,0
11.4,0,0
11.5,0,0
11.6,0,0
11.7,0,0
11.8,0,0
11.9,0,0
12,0,0
12.1,0,0
12.2,0,0
12.3,0,0
12.4,0,0
12.5,0,0
12.6,0,0
12.7,0,0
12.8,0,0
12.9,0,0
13,0,0
13.1,0,0
13.2,0,0
13.3,0,0
13.4,0,0
13.5,0,0
13.6,0,0
13.7,0,0
13.8,0,0
13.9,0,0
14,0,0
14.1,0,0
14.2,0,0
14.3,0,0
14.4,0,0
14.5,0,0
14.6,0,0
14.7,0,0
14.8,0,0
14.9,0,0
15,0,0
15.1,0,0
15.2,0,0
15.3,0,0
15.4,0,0
15.5,0,0
15.6,0,0
15.7,0,0
15.8,0,0
15.9,0,0
16,0,0
16.1,0,0
16.2,0,0
16.3,0,0
16.4,0,0
16.5,0,0
16.6,0,0
16.7,0,0
16.8,0,0
16.9,0,0
17,0,0
17.1,0,0
17.2,0,0
17.3,0,0
17.4,0,0
