xi,ti,ci
10,0,4.32E-308
10,0.05,-1.43E-238
10,0.1,-2.52E-180
10,0.15,-4.27E-133
10,0.2,-6.16E-97
10,0.25,-1.33E-71
10,0.3,-4.98E-55
10,0.35,-1.36E-43
10,0.4,-2.81E-35
10,0.45,-2.74E-29
10,0.5,-2.41E-25
10,0.55,-1.24E-23
10,0.6,3.40E-25
10,0.65,-3.53E-25
10,0.7,1.62E-26
10,0.75,8.37E-27
10,0.8,1.26E-27
10,0.85,1.98E-28
10,0.9,2.30E-29
10,0.95,-7.73E-31
10,1,-6.93E-31
10,1.05,3.55E-33
10,1.1,-1.65E-33
10,1.15,-2.59E-31
10,1.2,3.40E-30
10,1.25,-1.27E-28
10,1.3,2.69E-27
10,1.35,6.15E-26
10,1.4,-5.85E-24
10,1.45,-1.55E-23
10,1.5,7.57E-21
10,1.55,2.61E-19
10,1.6,4.87E-18
10,1.65,6.31E-17
10,1.7,6.28E-16
10,1.75,5.06E-15
10,1.8,3.43E-14
10,1.85,2.01E-13
10,1.9,1.03E-12
10,1.95,4.73E-12
10,2,1.96E-11
10,2.05,7.41E-11
10,2.1,2.58E-10
10,2.15,8.32E-10
10,2.2,2.51E-09
10,2.25,7.09E-09
10,2.3,1.89E-08
10,2.35,4.77E-08
10,2.4,1.14E-07
10,2.45,2.62E-07
10,2.5,5.73E-07
10,2.55,1.21E-06
10,2.6,2.44E-06
10,2.65,4.76E-06
10,2.7,8.97E-06
10,2.75,1.64E-05
10,2.8,2.90E-05
10,2.85,5.00E-05
10,2.9,8.38E-05
10,2.95,0.000136926
10,3,0.000218419
10,3.05,0.000340534
10,3.1,0.000519525
10,3.15,0.000776439
10,3.2,0.00113792
10,3.25,0.00163696
10,3.3,0.00231357
10,3.35,0.00321526
10,3.4,0.00439734
10,3.45,0.00592287
10,3.5,0.0078624
10,3.55,0.0102933
10,3.6,0.0132986
10,3.65,0.016966
10,3.7,0.0213856
10,3.75,0.0266483
10,3.8,0.0328437
10,3.85,0.0400573
10,3.9,0.0483687
10,3.95,0.0578489
10,4,0.0685582
10,4.05,0.0805443
10,4.1,0.0938405
10,4.15,0.108465
10,4.2,0.124418
10,4.25,0.141684
10,4.3,0.160231
10,4.35,0.180008
10,4.4,0.200952
10,4.45,0.222981
10,4.5,0.246002
10,4.55,0.269913
10,4.6,0.294597
10,4.65,0.319935
10,4.7,0.345799
10,4.75,0.37206
10,4.8,0.398588
10,4.85,0.425252
10,4.9,0.451926
10,4.95,0.478489
10,5,0.504822
10,5.05,0.530818
10,5.1,0.556375
10,5.15,0.581401
10,5.2,0.605813
10,5.25,0.62954
10,5.3,0.652518
10,5.35,0.674696
10,5.4,0.696029
10,5.45,0.716485
10,5.5,0.736039
10,5.55,0.754677
10,5.6,0.772389
10,5.65,0.789175
10,5.7,0.805041
10,5.75,0.819999
10,5.8,0.834066
10,5.85,0.847263
10,5.9,0.859614
10,5.95,0.871149
10,6,0.881897
10,6.05,0.891891
10,6.1,0.901166
10,6.15,0.909756
10,6.2,0.917697
10,6.25,0.925025
10,6.3,0.931774
10,6.35,0.93798
10,6.4,0.943678
10,6.45,0.948899
10,6.5,0.953678
10,6.55,0.958044
10,6.6,0.962029
10,6.65,0.965659
10,6.7,0.968962
10,6.75,0.971964
10,6.8,0.974688
