xi,ti,ci
0,0,0
0.1,0,5.37E-34
0.2,0,1.91E-31
0.3,0,5.30E-29
0.4,0,1.14E-26
0.5,0,1.92E-24
0.6,0,2.52E-22
0.7,0,2.57E-20
0.8,0,2.04E-18
0.9,0,1.26E-16
1,0,6.09E-15
1.1,0,2.28E-13
1.2,0,6.67E-12
1.3,0,1.52E-10
1.4,0,2.69E-09
1.5,0,3.72E-08
1.6,0,4.00E-07
1.7,0,3.35E-06
1.8,0,2.18E-05
1.9,0,0.000110796
2,0,0.000438208
2.1,0,0.00134977
2.2,0,0.00323794
2.3,0,0.00604927
2.4,0,0.00880163
2.5,0,0.00997356
2.6,0,0.00880163
2.7,0,0.00604927
2.8,0,0.00323794
2.9,0,0.00134977
3,0,0.000438208
3.1,0,0.000110796
3.2,0,2.18E-05
3.3,0,3.35E-06
3.4,0,4.00E-07
3.5,0,3.72E-08
3.6,0,2.69E-09
3.7,0,1.52E-10
3.8,0,6.67E-12
3.9,0,2.28E-13
4,0,6.09E-15
4.1,0,1.26E-16
4.2,0,2.04E-18
4.3,0,2.57E-20
4.4,0,2.52E-22
4.5,0,1.92E-24
4.6,0,1.14E-26
4.7,0,5.30E-29
4.8,0,1.91E-31
4.9,0,5.37E-34
5,0,1.17E-36
5.1,0,2.00E-39
5.2,0,2.65E-42
5.3,0,2.74E-45
5.4,0,2.21E-48
5.5,0,1.38E-51
5.6,0,6.75E-55
5.7,0,2.57E-58
5.8,0,7.59E-62
5.9,0,1.75E-65
6,0,3.14E-69
6.1,0,4.40E-73
6.2,0,4.79E-77
6.3,0,4.06E-81
6.4,0,2.68E-85
6.5,0,1.38E-89
6.6,0,5.53E-94
6.7,0,1.73E-98
6.8,0,4.19E-103
6.9,0,7.94E-108
7,0,1.17E-112
7.1,0,1.34E-117
7.2,0,1.20E-122
7.3,0,8.36E-128
7.4,0,4.53E-133
7.5,0,1.91E-138
7.6,0,6.29E-144
7.7,0,1.61E-149
7.8,0,3.22E-155
7.9,0,4.99E-161
8,0,6.04E-167
8.1,0,5.69E-173
8.2,0,4.18E-179
8.3,0,2.39E-185
8.4,0,1.06E-191
8.5,0,3.68E-198
8.6,0,9.95E-205
8.7,0,2.09E-211
8.8,0,3.42E-218
8.9,0,4.37E-225
9,0,4.34E-232
9.1,0,3.35E-239
9.2,0,2.02E-246
9.3,0,9.48E-254
9.4,0,3.46E-261
9.5,0,9.85E-269
9.6,0,2.18E-276
9.7,0,3.77E-284
9.8,0,5.06E-292
9.9,0,5.30E-300
10,0,4.32E-308
10.1,0,2.74305e-316
10.2,0,0
10.3,0,0
