xi,ti,ci
10,0,0
10,0.1,-4.21E-182
10,0.2,-4.00E-100
10,0.3,-2.89E-58
10,0.4,-1.46E-37
10,0.5,-1.48E-26
10,0.6,2.33E-24
10,0.7,2.78E-26
10,0.8,-2.06E-27
10,0.9,-4.23E-29
10,1,2.97E-30
10,1.1,-1.37E-26
10,1.2,8.37E-21
10,1.3,6.59E-17
10,1.4,4.54E-14
10,1.5,8.53E-12
10,1.6,6.46E-10
10,1.7,2.44E-08
10,1.8,5.25E-07
10,1.9,7.06E-06
10,2,6.38E-05
10,2.1,0.000408294
10,2.2,0.00193205
10,2.3,0.00701064
10,2.4,0.0201234
10,2.5,0.0469727
10,2.6,0.0914469
10,2.7,0.152059
10,2.8,0.220973
10,2.9,0.287006
10,3,0.340552
10,3.1,0.376999
10,3.2,0.396959
10,3.3,0.404233
10,3.4,0.403391
10,3.5,0.398235
10,3.6,0.391305
10,3.7,0.384034
10,3.8,0.377111
10,3.9,0.370808
10,4,0.365192
10,4.1,0.360243
10,4.2,0.355911
10,4.3,0.352137
10,4.4,0.348867
10,4.5,0.34605
10,4.6,0.343641
10,4.7,0.341601
10,4.8,0.339893
10,4.9,0.338485
10,5,0.337349
10,5.1,0.33646
10,5.2,0.335792
10,5.3,0.335325
10,5.4,0.335039
10,5.5,0.334917
10,5.6,0.334942
10,5.7,0.335099
10,5.8,0.335375
10,5.9,0.335758
10,6,0.336238
10,6.1,0.336803
10,6.2,0.337446
10,6.3,0.33816
10,6.4,0.338937
10,6.5,0.339773
10,6.6,0.340663
10,6.7,0.341605
10,6.8,0.342596
10,6.9,0.343635
10,7,0.344722
10,7.1,0.345859
10,7.2,0.347046
10,7.3,0.348289
10,7.4,0.34959
10,7.5,0.350955
10,7.6,0.352391
10,7.7,0.353906
10,7.8,0.355508
10,7.9,0.357209
10,8,0.359019
10,8.1,0.360952
10,8.2,0.363023
10,8.3,0.36525
10,8.4,0.367651
10,8.5,0.370248
10,8.6,0.373065
10,8.7,0.376128
10,8.8,0.379469
10,8.9,0.383121
10,9,0.387123
10,9.1,0.39152
10,9.2,0.396361
10,9.3,0.401704
10,9.4,0.407614
10,9.5,0.414167
10,9.6,0.421451
10,9.7,0.429564
10,9.8,0.438626
10,9.9,0.44877
10,10,0.460155
