xi,ti,ci
26.25,0,0
26.25,0.5,0
26.25,1,0
26.25,1.5,0
26.25,2,0
26.25,2.5,0
26.25,3,0
26.25,3.5,0
26.25,4,0
26.25,4.5,0
26.25,5,0
26.25,5.5,0
26.25,6,0
26.25,6.5,0
26.25,7,0
26.25,7.5,0
26.25,8,0
26.25,8.5,0
26.25,9,0
26.25,9.5,0
26.25,10,0
26.25,10.5,-1.00E-08
26.25,11,-1.00E-08
26.25,11.5,1E-8
26.25,12,0
26.25,12.5,0
26.25,13,1E-8
26.25,13.5,-1.00E-08
26.25,14,-1.00E-08
26.25,14.5,-5.00E-08
26.25,15,-4.00E-08
26.25,15.5,0
26.25,16,-1.00E-08
26.25,16.5,1E-8
26.25,17,5.17E-6
26.25,17.5,1.7471E-4
26.25,18,0.005006505
26.25,18.5,0.026046569
26.25,19,0.174314384
26.25,19.5,0.50219895
26.25,20,0.782222104
26.25,20.5,0.884568597
26.25,21,0.897392221
26.25,21.5,0.86587417
26.25,22,0.899918953
26.25,22.5,0.883068595
26.25,23,0.894335578
26.25,23.5,0.896549324
26.25,24,0.907224121
26.25,24.5,0.899060015
26.25,25,0.908104578
26.25,25.5,0.874229203
26.25,26,0.874704738
26.25,26.5,0.893673893
26.25,27,0.886896658
26.25,27.5,0.892630353
26.25,28,0.899763254
26.25,28.5,0.89385704
26.25,29,0.902470983
26.25,29.5,0.916731155
26.25,30,0.879383532
26.25,30.5,0.892494111
26.25,31,0.897865106
26.25,31.5,0.889959676
26.25,32,0.907933605
26.25,32.5,0.856991256
26.25,33,0.921802385
26.25,33.5,0.874613772
26.25,34,0.894040165
26.25,34.5,0.900757617
26.25,35,0.878283791
26.25,35.5,0.896044227
26.25,36,0.899070366
26.25,36.5,0.895899105
26.25,37,0.873990109
26.25,37.5,0.916737214
26.25,38,0.890092219
26.25,38.5,0.869566103
26.25,39,0.895906441
26.25,39.5,0.887081858
26.25,40,0.892938576
26.25,40.5,0.832954153
26.25,41,0.904404416
26.25,41.5,0.887517616
26.25,42,0.887602839
26.25,42.5,0.877816471
26.25,43,0.894450165
26.25,43.5,0.896993792
26.25,44,0.885288291
26.25,44.5,0.899008194
26.25,45,0.875145747
26.25,45.5,0.862300178
26.25,46,0.846704017
26.25,46.5,0.847159521
26.25,47,0.863055048
26.25,47.5,0.847133259
26.25,48,0.842383024
26.25,48.5,0.854979497
26.25,49,0.831228221
26.25,49.5,0.839312108
26.25,50,0.851218249
26.25,50.5,0.855452696
26.25,51,0.854845822
26.25,51.5,0.852041224
26.25,52,0.855501559
26.25,52.5,0.869108438
26.25,53,0.838657553
26.25,53.5,0.846008037
26.25,54,0.87683291
26.25,54.5,0.846724579
26.25,55,0.88174213
26.25,55.5,0.843748246
26.25,56,0.862042096
26.25,56.5,0.879752081
26.25,57,0.865846913
26.25,57.5,0.86643731
26.25,58,0.879483245
26.25,58.5,0.843131038
26.25,59,0.87113317
26.25,59.5,0.876894421
26.25,60,0.868031624
26.25,60.5,0.863143738
26.25,61,0.862763946
26.25,61.5,0.879904268
26.25,62,0.848961672
26.25,62.5,0.880417727
26.25,63,0.868081542
26.25,63.5,0.871286728
26.25,64,0.886621268
26.25,64.5,0.887103406
26.25,65,0.881157668
26.25,65.5,0.879976942
26.25,66,0.889648175
26.25,66.5,0.905403923
26.25,67,0.886849143
26.25,67.5,0.863283298
26.25,68,0.84668267
26.25,68.5,0.905614544
26.25,69,0.851355495
26.25,69.5,0.894383941
26.25,70,0.887952922
26.25,70.5,0.87014696
26.25,71,0.885575833
26.25,71.5,0.86217792
26.25,72,0.891479575
26.25,72.5,0.8658787
26.25,73,0.883401469
26.25,73.5,0.887073016
26.25,74,0.870257444
26.25,74.5,0.906347978
26.25,75,0.878326131
26.25,75.5,0.882290544
26.25,76,0.863129635
26.25,76.5,0.868815107
26.25,77,0.889254732
26.25,77.5,0.857008131
26.25,78,0.837337866
26.25,78.5,0.86348889
26.25,79,0.855102295
26.25,79.5,0.872861352
26.25,80,0.875554603
26.25,80.5,0.856386458
26.25,81,0.862334722
26.25,81.5,0.853208184
26.25,82,0.853560645
26.25,82.5,0.869017831
26.25,83,0.874299265
26.25,83.5,0.86718629
26.25,84,0.877876063
26.25,84.5,0.877801176
26.25,85,0.86159078
26.25,85.5,0.853931898
26.25,86,0.847584896
26.25,86.5,0.842453606
26.25,87,0.862206956
26.25,87.5,0.856505854
26.25,88,0.890693189
26.25,88.5,0.860840581
26.25,89,0.837844906
26.25,89.5,0.879104692
26.25,90,0.826140987
26.25,90.5,0.837616425
26.25,91,0.862513801
26.25,91.5,0.856672762
26.25,92,0.875357112
26.25,92.5,0.835033885
26.25,93,0.838604885
26.25,93.5,0.847364309
26.25,94,0.84989606
26.25,94.5,0.834973946
26.25,95,0.859093518
26.25,95.5,0.847349244
26.25,96,0.834537094
26.25,96.5,0.843177079
26.25,97,0.872782527
26.25,97.5,0.850405062
26.25,98,0.85462712
26.25,98.5,0.870233609
26.25,99,0.861416597
26.25,99.5,0.841715185
26.25,100,0.852604184
26.25,100.5,0.848240069
26.25,101,0.859731936
26.25,101.5,0.848944829
26.25,102,0.872834558
26.25,102.5,0.845434647
26.25,103,0.849154411
26.25,103.5,0.857768466
26.25,104,0.884847576
26.25,104.5,0.868473458
26.25,105,0.864715576
26.25,105.5,0.84915355
26.25,106,0.872362983
26.25,106.5,0.887818949
26.25,107,0.878098688
26.25,107.5,0.871292719
26.25,108,0.867152388
26.25,108.5,0.845962365
26.25,109,0.862193301
26.25,109.5,0.865645703
26.25,110,0.851216148
26.25,110.5,0.883400408
26.25,111,0.860875333
26.25,111.5,0.86776728
26.25,112,0.857763393
26.25,112.5,0.823610564
26.25,113,0.848288042
26.25,113.5,0.852507275
26.25,114,0.870157
26.25,114.5,0.856978933
26.25,115,0.854954359
26.25,115.5,0.857442796
26.25,116,0.85047658
26.25,116.5,0.841575957
26.25,117,0.833887238
26.25,117.5,0.855763443
26.25,118,0.860416804
26.25,118.5,0.892299981
26.25,119,0.85725041
26.25,119.5,0.861014063
26.25,120,0.846908995
26.25,120.5,0.858080041
26.25,121,0.863189372
26.25,121.5,0.834793875
26.25,122,0.829540807
26.25,122.5,0.866792497
26.25,123,0.866995143
26.25,123.5,0.855153281
26.25,124,0.836135824
26.25,124.5,0.853205306
26.25,125,0.876066073
26.25,125.5,0.823165294
26.25,126,0.82744947
26.25,126.5,0.849846962
26.25,127,0.848025367
26.25,127.5,0.829272968
26.25,128,0.835507317
26.25,128.5,0.855806967
26.25,129,0.840017538
26.25,129.5,0.83562954
26.25,130,0.86953174
26.25,130.5,0.849925499
26.25,131,0.851469388
26.25,131.5,0.859510263
26.25,132,0.850904071
26.25,132.5,0.862082987
26.25,133,0.851318099
26.25,133.5,0.873696064
26.25,134,0.838506873
26.25,134.5,0.85117884
26.25,135,0.845586906
26.25,135.5,0.835237553
26.25,136,0.84006709
26.25,136.5,0.833908178
26.25,137,0.846942172
26.25,137.5,0.858563071
26.25,138,0.844216125
26.25,138.5,0.851814842
26.25,139,0.848629557
26.25,139.5,0.839181647
26.25,140,0.835787207
26.25,140.5,0.837246099
26.25,141,0.807274692
26.25,141.5,0.865062992
26.25,142,0.843078974
26.25,142.5,0.837691366
26.25,143,0.822912944
26.25,143.5,0.867789538
26.25,144,0.836149554
